frame,track_id,future_step,future_frame,future_x,future_y,sigma_x,sigma_y
9,20,3,12,16.01,298.50,1.79,33.37
9,20,4,13,16.01,298.50,1.96,36.56
9,20,5,14,16.01,298.50,2.12,39.49
9,20,6,15,16.01,298.50,2.26,42.21
9,20,7,16,16.01,298.50,2.40,44.78
9,20,8,17,16.01,298.50,2.53,47.20
9,20,9,18,16.01,298.50,2.65,49.50
9,20,10,19,16.01,298.50,2.77,51.70
9,20,11,20,16.01,298.50,2.89,53.81
9,20,12,21,16.01,298.50,2.99,55.84
9,20,13,22,16.01,298.50,3.10,57.80
9,20,14,23,16.01,298.50,3.20,59.70
9,20,15,24,16.01,298.50,3.30,61.54
9,24,1,10,50.50,232.50,2.53,11.63
9,24,2,11,50.50,232.50,3.57,16.44
9,24,3,12,50.50,232.50,4.37,20.14
9,24,4,13,50.50,232.50,5.05,23.25
9,24,5,14,50.50,232.50,5.65,25.99
9,24,6,15,50.50,232.50,6.19,28.48
9,24,7,16,50.50,232.50,6.68,30.76
9,24,8,17,50.50,232.50,7.14,32.88
9,24,9,18,50.50,232.50,7.58,34.88
9,24,10,19,50.50,232.50,7.99,36.76
9,24,11,20,50.50,232.50,8.37,38.56
9,24,12,21,50.50,232.50,8.75,40.27
9,24,13,22,50.50,232.50,9.10,41.91
9,24,14,23,50.50,232.50,9.45,43.50
9,24,15,24,50.50,232.50,9.78,45.02
10,6,1,11,49.00,305.50,4.24,26.46
10,6,2,12,49.00,305.50,4.90,30.55
10,6,3,13,49.00,305.50,5.48,34.16
10,6,4,14,49.00,305.50,6.00,37.42
10,6,5,15,49.00,305.50,6.48,40.41
10,6,6,16,49.00,305.50,6.93,43.20
10,6,7,17,49.00,305.50,7.35,45.83
10,6,8,18,49.00,305.50,7.75,48.30
10,6,9,19,49.00,305.50,8.13,50.66
10,6,10,20,49.00,305.50,8.49,52.91
10,6,11,21,49.00,305.50,8.83,55.07
10,6,12,22,49.00,305.50,9.17,57.15
10,6,13,23,49.00,305.50,9.49,59.16
10,6,14,24,49.00,305.50,9.80,61.10
10,6,15,25,49.00,305.50,10.10,62.98
10,17,1,11,115.50,328.00,5.78,16.40
10,17,2,12,115.50,328.00,8.17,23.19
10,17,3,13,115.50,328.00,10.00,28.41
10,17,4,14,115.50,328.00,11.55,32.80
10,17,5,15,115.50,328.00,12.91,36.67
10,17,6,16,115.50,328.00,14.15,40.17
10,17,7,17,115.50,328.00,15.28,43.39
10,17,8,18,115.50,328.00,16.33,46.39
10,17,9,19,115.50,328.00,17.33,49.20
10,17,10,20,115.50,328.00,18.26,51.86
10,17,11,21,115.50,328.00,19.15,54.39
10,17,12,22,115.50,328.00,20.01,56.81
10,17,13,23,115.50,328.00,20.82,59.13
10,17,14,24,115.50,328.00,21.61,61.36
10,17,15,25,115.50,328.00,22.37,63.52
10,19,1,11,34.50,308.50,1.73,15.43
10,19,2,12,34.50,308.50,2.44,21.81
10,19,3,13,34.50,308.50,2.99,26.72
10,19,4,14,34.50,308.50,3.45,30.85
10,19,5,15,34.50,308.50,3.86,34.49
10,19,6,16,34.50,308.50,4.23,37.78
10,19,7,17,34.50,308.50,4.56,40.81
10,19,8,18,34.50,308.50,4.88,43.63
10,19,9,19,34.50,308.50,5.18,46.28
10,19,10,20,34.50,308.50,5.46,48.78
10,19,11,21,34.50,308.50,5.72,51.16
10,19,12,22,34.50,308.50,5.98,53.43
10,19,13,23,34.50,308.50,6.22,55.62
10,19,14,24,34.50,308.50,6.45,57.72
10,19,15,25,34.50,308.50,6.68,59.74
10,20,1,11,16.01,298.50,1.60,29.85
10,20,2,12,16.01,298.50,1.79,33.37
10,20,3,13,16.01,298.50,1.96,36.56
10,20,4,14,16.01,298.50,2.12,39.49
10,20,5,15,16.01,298.50,2.26,42.21
10,20,6,16,16.01,298.50,2.40,44.78
10,20,7,17,16.01,298.50,2.53,47.20
10,20,8,18,16.01,298.50,2.65,49.50
10,20,9,19,16.01,298.50,2.77,51.70
10,20,10,20,16.01,298.50,2.89,53.81
10,20,11,21,16.01,298.50,2.99,55.84
10,20,12,22,16.01,298.50,3.10,57.80
10,20,13,23,16.01,298.50,3.20,59.70
10,20,14,24,16.01,298.50,3.30,61.54
10,20,15,25,16.01,298.50,3.40,63.32
10,24,1,11,44.50,227.00,2.23,11.35
10,24,2,12,44.50,227.00,3.15,16.05
10,24,3,13,44.50,227.00,3.85,19.66
10,24,4,14,44.50,227.00,4.45,22.70
10,24,5,15,44.50,227.00,4.98,25.38
10,24,6,16,44.50,227.00,5.45,27.80
10,24,7,17,44.50,227.00,5.89,30.03
10,24,8,18,44.50,227.00,6.29,32.10
10,24,9,19,44.50,227.00,6.68,34.05
10,24,10,20,44.50,227.00,7.04,35.89
10,24,11,21,44.50,227.00,7.38,37.64
10,24,12,22,44.50,227.00,7.71,39.32
10,24,13,23,44.50,227.00,8.02,40.92
10,24,14,24,44.50,227.00,8.33,42.47
10,24,15,25,44.50,227.00,8.62,43.96
11,6,1,12,49.00,305.50,4.90,30.55
11,6,2,13,49.00,305.50,5.48,34.16
11,6,3,14,49.00,305.50,6.00,37.42
11,6,4,15,49.00,305.50,6.48,40.41
11,6,5,16,49.00,305.50,6.93,43.20
11,6,6,17,49.00,305.50,7.35,45.83
11,6,7,18,49.00,305.50,7.75,48.30
11,6,8,19,49.00,305.50,8.13,50.66
11,6,9,20,49.00,305.50,8.49,52.91
11,6,10,21,49.00,305.50,8.83,55.07
11,6,11,22,49.00,305.50,9.17,57.15
11,6,12,23,49.00,305.50,9.49,59.16
11,6,13,24,49.00,305.50,9.80,61.10
11,6,14,25,49.00,305.50,10.10,62.98
11,6,15,26,49.00,305.50,10.39,64.81
11,17,1,12,107.00,336.50,5.35,16.83
11,17,2,13,107.00,336.50,7.57,23.79
11,17,3,14,107.00,336.50,9.27,29.14
11,17,4,15,107.00,336.50,10.70,33.65
11,17,5,16,107.00,336.50,11.96,37.62
11,17,6,17,107.00,336.50,13.10,41.21
11,17,7,18,107.00,336.50,14.15,44.51
11,17,8,19,107.00,336.50,15.13,47.59
11,17,9,20,107.00,336.50,16.05,50.48
11,17,10,21,107.00,336.50,16.92,53.21
11,17,11,22,107.00,336.50,17.74,55.80
11,17,12,23,107.00,336.50,18.53,58.28
11,17,13,24,107.00,336.50,19.29,60.66
11,17,14,25,107.00,336.50,20.02,62.95
11,17,15,26,107.00,336.50,20.72,65.16
11,19,1,12,26.51,309.50,1.33,15.48
11,19,2,13,26.51,309.50,1.87,21.89
11,19,3,14,26.51,309.50,2.30,26.80
11,19,4,15,26.51,309.50,2.65,30.95
11,19,5,16,26.51,309.50,2.96,34.60
11,19,6,17,26.51,309.50,3.25,37.91
11,19,7,18,26.51,309.50,3.51,40.94
11,19,8,19,26.51,309.50,3.75,43.77
11,19,9,20,26.51,309.50,3.98,46.43
11,19,10,21,26.51,309.50,4.19,48.94
11,19,11,22,26.51,309.50,4.40,51.32
11,19,12,23,26.51,309.50,4.59,53.61
11,19,13,24,26.51,309.50,4.78,55.80
11,19,14,25,26.51,309.50,4.96,57.90
11,19,15,26,26.51,309.50,5.13,59.93
11,20,1,12,16.01,298.50,1.79,33.37
11,20,2,13,16.01,298.50,1.96,36.56
11,20,3,14,16.01,298.50,2.12,39.49
11,20,4,15,16.01,298.50,2.26,42.21
11,20,5,16,16.01,298.50,2.40,44.78
11,20,6,17,16.01,298.50,2.53,47.20
11,20,7,18,16.01,298.50,2.65,49.50
11,20,8,19,16.01,298.50,2.77,51.70
