TimeSec,TrackId,WorldX,WorldY,ClassName,SensorSupport,Hits,Locked,ClusterAllGhost,TruthId
35.5,3,56.8034167025683,48.6018788913986,vehicle,3,72,1,0,2
35.5,213,52.1638690293424,12.4233101323496,person,1,1,0,1,0
35.5,214,31.5976391803376,49.3762341247468,person,1,1,0,1,0
35.5,204,13.1823650371216,-9.23344445197895,person,1,2,0,1,0
36,1,29.0320159368793,30.7255114859994,person,4,73,1,0,1
36,215,-2.70670341934888,27.9593899732899,person,1,1,0,1,0
36,3,56.5674623796948,48.6628162058472,vehicle,3,73,1,0,2
36,216,62.514887757792,53.3542849581634,person,1,1,0,1,0
36,217,63.4518657974803,47.8159193269186,person,1,1,0,1,0
36.5,1,29.2068038855149,30.6037480752665,person,4,74,1,0,1
36.5,3,56.6207897071257,48.7363776944664,vehicle,3,74,1,0,2
36.5,218,73.6453585970339,-21.7916869747271,person,1,1,0,1,0
36.5,219,2.55029778681309,56.8025736933766,person,1,1,0,1,0
36.5,220,52.9647540859991,-8.88938988903287,person,1,1,0,1,0
37,1,29.2571008648743,30.4503843649261,person,4,75,1,0,1
37,221,2.86463742208168,1.62822594179448,person,1,1,0,1,0
37,3,56.4964762505515,48.7258992812797,vehicle,3,75,1,0,2
37,222,46.4227309166318,85.740029465428,person,1,1,0,1,0
37,223,70.413799782535,22.05476152074,person,1,1,0,1,0
37.5,1,29.384463520044,30.422425784139,person,5,76,1,0,1
37.5,3,56.451709098263,48.7124359688574,vehicle,3,76,1,0,2
37.5,224,89.6287990007376,17.4639299158449,person,1,1,0,1,0
37.5,225,-12.9642730889606,27.9853223994258,person,1,1,0,1,0
37.5,226,44.3211820158459,11.7325616213987,person,1,1,0,1,0
38,1,29.4726677273072,30.3776770492087,person,5,77,1,0,1
38,227,32.4385764086108,-1.02317054004584,person,1,1,0,1,0
38,3,56.4350191709821,48.8120332645391,vehicle,3,77,1,0,2
38,228,9.29566850657674,74.2713027921205,person,1,1,0,1,0
38,229,83.8057295469373,47.1505231606687,person,1,1,0,1,0
38.5,1,29.6164375729915,30.2322056609822,person,5,78,1,0,1
38.5,3,56.4050699289505,48.9201732353548,vehicle,3,78,1,0,2
38.5,230,64.2502577817928,18.1817152495162,person,1,1,0,1,0
38.5,231,20.8352868067687,35.447230109126,person,1,1,0,1,0
38.5,232,19.1265924163683,11.9498817146472,person,1,1,0,1,0
39,1,29.7836948965316,30.1256592037614,person,6,79,1,0,1
39,233,12.8832032697982,23.6998955800774,person,1,1,0,1,0
39,3,56.2295685566863,48.9582143415345,vehicle,3,79,1,0,2
39,234,42.2150462414291,50.123039212487,person,1,1,0,1,0
39,235,61.1758403855473,68.6397455282592,person,1,1,0,1,0
39.5,1,29.8517253504622,29.9376668362247,person,6,80,1,0,1
39.5,3,56.0913493179777,48.9206502856986,vehicle,3,80,1,0,2
39.5,236,54.3738334403084,-8.21600720928645,person,1,1,0,1,0
39.5,237,19.4226501370148,72.7402787269226,person,1,1,0,1,0
39.5,238,39.206431457484,-5.9713376107168,person,1,1,0,1,0
40,1,29.9526250219247,29.9180309057348,person,6,81,1,0,1
40,239,-17.9755699078041,8.83060343186605,person,1,1,0,1,0
40,3,56.0407887385865,49.0282743432893,vehicle,3,81,1,0,2
40,240,48.4224889820648,73.1720150294406,person,1,1,0,1,0
40,241,60.3231313230791,35.584547918345,person,1,1,0,1,0
40.5,1,30.0259081003882,29.7063597690923,person,6,82,1,0,1
40.5,3,56.0260515766865,49.0830332158325,vehicle,3,82,1,0,2
