TimeSec,SensorId,SensorType,RangeM,BearingRad,WorldX,WorldY,ExtentM,IsGhost,TrueId
40,3,UAV,41.3164821968835,-1.81755409530238,29.9079854033809,29.9350160051571,0.97200699295016,0,1
40,3,UAV,26.3535228880402,-0.906213190126826,56.2530356408588,49.2551933952752,3.3776626668346,0,2
40,3,UAV,9,0.360183660255178,48.4224889820648,73.1720150294406,0.7,1,0
40,4,UGV,26.5828511161666,-0.594448091264471,30.0227682898925,30.1122315200033,0.601200579107536,0,1
40,5,UGV,44.6585151764812,-2.79310061828506,30.0259652268303,29.7499710613802,0.78497718212305,0,1
40,5,UGV,16.5955074964132,2.8972034173377,55.897623218929,49.0155113079074,3.64780158385749,0,2
40,5,UGV,15,-2.4630016469244,60.3231313230791,35.584547918345,1.4,1,0
40,6,UGV,26.7277700567008,1.95373290445505,30.0132766449677,29.7919149892444,0.667947066705542,0,1
40.5,1,UAV,28.1824274646016,0.773852982694486,30.156724556132,29.696590389348,0.797796324165754,0,1
40.5,2,UAV,44.5641911695225,2.6916447098645,29.8712941941256,29.3817982896152,0.656487886635099,0,1
40.5,2,UAV,41.5538710710893,1.91281046483981,56.0634444601813,49.1471151003271,3.69276330817575,0,2
40.5,2,UAV,13,-0.45981633974483,81.6497422344584,4.2308141067672,0.7,1,0
40.5,3,UAV,41.5547613489967,-1.80821555152016,30.2265265505035,29.6109246515341,1.02333736188146,0,1
40.5,3,UAV,26.5137166588138,-0.915684347499822,56.1534300256943,48.9751606553378,3.76512853317292,0,2
40.5,4,UGV,26.8662806639181,-0.604424615673224,30.1063607158954,29.7321955536778,0.721444608310748,0,1
40.5,4,UGV,19,3.00018366025518,-10.8103495627643,47.6778254847192,1.4,1,0
40.5,5,UGV,44.724700053766,-2.78232113476397,30.1308289046412,29.275137307852,0.808350546024169,0,1
40.5,5,UGV,16.7031684042018,2.88646996479877,55.8374740595762,49.2152805320946,3.33951011796382,0,2
