TimeSec,TargetId,ClassName,WorldX,WorldY
50.5,1,person,32.1,28.0441602319334
50.5,2,vehicle,54.425,49.83295821697
51,1,person,32.2,27.9834556285419
51,2,vehicle,54.35,49.8777467723596
51.5,1,person,32.3,27.9259770659716
51.5,2,vehicle,54.275,49.9226453474022
52,1,person,32.4,27.8718164976611
52,2,vehicle,54.2,49.9676135364109
52.5,1,person,32.5,27.821060568966
52.5,2,vehicle,54.125,50.0126108710507
53,1,person,32.6,27.773790478545
53,2,vehicle,54.05,50.0575968567579
53.5,1,person,32.7,27.730081848459
53.5,2,vehicle,53.975,50.1025310091816
54,1,person,32.8,27.690004603192
54,2,vehicle,53.9,50.1473728906177
54.5,1,person,32.9,27.6536228577872
54.5,2,vehicle,53.825,50.1920821463996
55,1,person,33,27.6209948152762
55,2,vehicle,53.75,50.2366185412149
55.5,1,person,33.1,27.5921726735667
55.5,2,vehicle,53.675,50.2809419953144
56,1,person,33.2,27.5672025419371
56,2,vehicle,53.6,50.3250126205811
56.5,1,person,33.3,27.5461243672712
56.5,2,vehicle,53.525,50.368790756427
57,1,person,33.4,27.5289718701522
57,2,vehicle,53.45,50.4122370054847
57.5,1,person,33.5,27.5157724909163
57.5,2,vehicle,53.375,50.4553122690626
58,1,person,33.6,27.5065473457548
58,2,vehicle,53.3,50.4979777823311
58.5,1,person,33.7,27.5013111929318
58.5,2,vehicle,53.225,50.540195149208
59,1,person,33.8,27.5000724091749
59,2,vehicle,53.15,50.5819263769126
59.5,1,person,33.9,27.502832976274
59.5,2,vehicle,53.075,50.6231339101569
60,1,person,34,27.5095884779104
60,2,vehicle,53,50.6637806649423
