track_id,label,start_frame,end_frame,length_pts,path_length_px,avg_speed_px_per_frame
775,person,423,425,3,0.37,0.184
778,person,424,437,14,2.37,0.182
780,person,425,427,3,1.58,0.79
782,car,426,430,5,2.44,0.611
783,car,427,501,75,457.53,6.183
784,car,426,464,39,201.39,5.3
785,truck,427,429,3,0.14,0.068
786,person,428,430,3,0.47,0.237
788,person,429,431,3,0.23,0.117
789,car,432,434,3,1.2,0.6
790,car,429,431,3,0.33,0.164
791,person,429,431,3,0.89,0.443
792,person,429,431,3,0.45,0.227
794,bus,429,431,3,0.78,0.388
795,person,429,504,76,219.21,2.923
796,person,430,436,7,0.69,0.115
797,truck,430,447,18,17.16,1.01
799,person,432,434,3,0.86,0.431
801,truck,433,435,3,0.4,0.199
802,person,434,446,13,0.0,0.0
803,car,435,472,38,61.95,1.674
804,person,435,437,3,0.58,0.292
805,car,435,437,3,0.64,0.321
806,person,435,437,3,0.33,0.165
807,person,435,439,5,1.31,0.327
808,person,435,456,22,46.01,2.191
809,bus,435,459,25,10.47,0.436
810,person,437,451,15,6.29,0.45
811,car,438,440,3,1.73,0.865
812,truck,439,441,3,0.32,0.162
813,person,441,443,3,0.23,0.115
814,person,441,443,3,0.35,0.174
817,person,445,458,14,25.64,1.972
818,truck,445,447,3,0.34,0.172
821,person,447,498,52,183.97,3.607
822,car,447,449,3,0.39,0.196
824,bus,447,518,72,145.75,2.053
825,person,448,475,28,75.22,2.786
826,person,448,450,3,0.77,0.387
827,car,449,451,3,1.25,0.626
828,car,449,473,25,85.65,3.569
829,person,451,453,3,0.32,0.158
830,truck,451,453,3,0.99,0.495
831,truck,451,469,19,22.54,1.252
832,person,451,453,3,2.46,1.229
833,person,454,476,23,42.89,1.949
834,person,454,456,3,0.95,0.477
835,car,453,493,41,144.59,3.615
836,person,454,457,4,0.59,0.198
840,car,456,476,21,93.05,4.652
841,person,457,459,3,0.28,0.139
842,person,457,459,3,0.46,0.23
843,truck,457,459,3,2.67,1.335
844,person,458,471,14,0.19,0.015
845,car,459,478,20,21.73,1.144
846,car,459,475,17,47.85,2.991
847,person,464,488,25,48.57,2.024
848,person,460,463,4,3.29,1.097
849,car,460,480,21,20.26,1.013
850,person,460,462,3,0.4,0.199
851,person,460,462,3,0.1,0.049
852,person,463,465,3,0.38,0.191
853,car,463,494,32,80.35,2.592
854,person,463,487,25,29.17,1.215
855,car,463,465,3,1.56,0.778
857,car,463,490,28,88.52,3.278
858,truck,463,465,3,1.13,0.564
859,person,465,499,35,70.27,2.067
860,truck,463,501,39,68.71,1.808
861,person,463,472,10,3.99,0.443
862,bus,463,473,11,13.77,1.377
863,person,463,465,3,0.25,0.125
864,person,464,466,3,0.29,0.145
865,person,464,497,34,119.89,3.633
866,person,467,493,27,65.87,2.533
867,truck,466,483,18,8.23,0.484
868,person,465,467,3,1.46,0.729
869,person,466,468,3,0.16,0.082
871,person,467,482,16,8.89,0.592
873,person,467,469,3,2.3,1.152
874,truck,469,471,3,2.48,1.241
876,person,469,496,28,45.05,1.669
878,person,472,501,30,61.7,2.128
879,person,471,500,30,36.66,1.264
880,person,471,473,3,2.24,1.119
881,person,472,474,3,0.5,0.25
885,truck,475,491,17,19.35,1.209
886,person,476,504,29,39.27,1.403
887,person,477,499,23,76.7,3.486
888,car,477,479,3,0.54,0.271
889,bus,477,485,9,8.46,1.057
890,person,477,479,3,3.03,1.513
894,person,478,480,3,1.32,0.66
896,person,480,482,3,0.08,0.041
898,car,480,542,63,237.26,3.827
899,person,482,548,67,175.48,2.659
900,person,482,508,27,29.79,1.146
901,car,482,484,3,2.5,1.251
902,car,483,498,16,11.9,0.794
903,person,483,486,4,1.37,0.455
904,person,483,493,11,1.69,0.169
905,person,484,486,3,0.84,0.419
907,person,486,490,5,4.86,1.214
908,person,489,508,20,21.62,1.138
909,car,488,491,4,0.28,0.092
910,car,489,491,3,1.56,0.78
912,car,493,531,39,136.31,3.587
913,person,488,503,16,2.81,0.187
914,bus,490,494,5,4.34,1.086
915,bus,489,491,3,1.95,0.977
917,person,490,492,3,0.33,0.163
918,person,492,494,3,1.02,0.508
919,person,491,493,3,0.59,0.295
920,truck,491,504,14,22.73,1.749
921,person,492,590,99,319.99,3.265
923,person,494,506,13,0.0,0.0
924,car,497,499,3,0.43,0.213
925,person,495,552,58,110.74,1.943
926,bus,495,497,3,0.41,0.204
927,car,495,528,34,52.31,1.585
928,person,496,512,17,20.89,1.306
929,car,498,567,70,104.44,1.514
931,car,497,499,3,1.1,0.548
933,car,497,499,3,0.37,0.183
934,person,497,499,3,1.0,0.501
935,truck,497,502,6,1.55,0.31
936,car,498,501,4,3.86,1.286
937,person,498,500,3,0.26,0.131
938,person,499,543,45,58.34,1.326
939,person,500,547,48,144.54,3.075
940,person,500,507,8,6.5,0.929
941,person,501,521,21,8.41,0.421
942,bus,501,503,3,0.43,0.214
943,person,502,513,12,3.46,0.315
944,person,503,505,3,0.1,0.048
945,car,503,505,3,0.15,0.075
946,car,503,505,3,1.64,0.818
947,bus,503,510,8,2.41,0.344
948,car,503,523,21,29.25,1.462
949,person,503,505,3,0.61,0.304
950,car,503,505,3,0.34,0.17
953,person,504,506,3,0.62,0.308
954,truck,505,517,13,0.0,0.0
955,car,505,556,52,75.52,1.481
956,car,505,530,26,49.55,1.982
958,truck,507,524,18,29.01,1.707
959,bus,507,509,3,0.52,0.262
960,person,508,522,15,0.65,0.046
961,person,510,536,27,34.09,1.311
962,person,510,512,3,1.51,0.754
963,person,511,513,3,0.98,0.491
964,car,513,565,53,356.53,6.856
965,car,512,516,5,2.13,0.534
966,bus,513,515,3,0.3,0.148
967,person,515,542,28,51.45,1.906
969,person,515,541,27,24.32,0.935
970,person,516,546,31,35.16,1.172
971,person,516,518,3,0.42,0.212
972,person,517,523,7,9.53,1.588
973,car,517,545,29,69.48,2.481
974,person,517,525,9,0.81,0.102
975,person,517,544,28,23.04,0.853
977,bus,519,521,3,0.27,0.133
979,person,519,536,18,44.48,2.616
980,person,522,551,30,66.57,2.295
981,bus,522,525,4,3.91,1.302
982,person,522,524,3,0.08,0.041
984,bus,525,527,3,0.6,0.298
985,car,526,542,17,37.35,2.334
986,person,526,555,30,101.83,3.511
987,car,526,543,18,18.51,1.089
990,truck,528,530,3,0.99,0.493
991,person,528,530,3,0.79,0.393
994,person,529,531,3,0.11,0.057
995,bus,529,531,3,2.16,1.082
998,bus,531,533,3,0.55,0.276
999,person,532,534,3,0.51,0.255
1001,truck,534,536,3,1.33,0.665
1002,person,534,536,3,0.36,0.18
1003,person,535,537,3,0.09,0.046
1004,bus,535,537,3,1.54,0.772
1005,car,536,553,18,19.77,1.163
1007,bus,537,539,3,1.06,0.531
1008,person,538,540,3,1.21,0.607
1009,person,540,542,3,0.6,0.298
1010,truck,543,578,36,90.3,2.58
1011,bus,541,545,5,5.36,1.339
1012,person,543,556,14,5.38,0.414
1013,person,542,554,13,3.62,0.302
1015,truck,542,544,3,0.43,0.213
1016,bus,543,545,3,1.11,0.557
1017,person,544,546,3,0.09,0.046
1018,car,546,577,32,52.1,1.681
1019,person,546,548,3,0.51,0.257
1020,person,546,548,3,0.42,0.21
1022,car,547,549,3,0.76,0.38
1023,person,547,549,3,0.49,0.245
1024,truck,548,550,3,0.65,0.323
1026,car,549,551,3,0.36,0.178
1027,bus,549,551,3,2.59,1.295
1028,bus,549,551,3,0.72,0.362
1029,person,550,577,28,52.5,1.944
1030,person,550,556,7,0.23,0.038
1032,person,551,569,19,7.93,0.441
1033,person,552,554,3,0.11,0.057
1034,person,552,560,9,1.57,0.196
1035,person,552,554,3,0.9,0.45
1038,person,557,570,14,20.22,1.556
1040,car,555,561,7,1.41,0.236
1041,car,555,593,39,166.5,4.381
1042,bus,555,557,3,0.84,0.421
1043,person,555,557,3,0.53,0.267
1044,person,555,558,4,0.77,0.255
1045,bus,555,557,3,0.71,0.354
1046,person,555,557,3,0.15,0.076
1047,car,559,563,5,1.64,0.41
1048,car,558,591,34,88.38,2.678
1049,car,558,654,97,278.8,2.904
1050,person,558,627,70,173.34,2.512
1051,car,558,560,3,1.56,0.781
1052,person,558,573,16,16.9,1.127
1053,person,561,563,3,0.48,0.241
1054,person,559,561,3,0.1,0.052
1055,bus,561,569,9,12.07,1.508
1056,person,561,567,7,6.62,1.104
1057,bus,561,563,3,0.47,0.234
1058,person,562,569,8,0.52,0.075
1059,person,562,588,27,103.43,3.978
1060,person,562,564,3,0.26,0.128
1061,person,564,566,3,0.38,0.191
1062,car,565,567,3,1.6,0.799
1063,person,568,570,3,0.13,0.064
1065,bus,567,569,3,1.78,0.889
1067,truck,568,570,3,0.85,0.425
1068,person,568,570,3,0.32,0.162
1069,car,569,571,3,0.27,0.135
1070,car,569,571,3,0.19,0.093
1071,person,570,577,8,7.45,1.064
1072,car,571,573,3,1.48,0.74
1073,truck,571,595,25,60.09,2.504
1074,person,571,588,18,7.45,0.438
1075,bus,573,588,16,8.07,0.538
1076,bus,573,576,4,3.72,1.24
1077,person,573,585,13,10.09,0.841
1078,person,574,576,3,0.12,0.058
1079,truck,577,579,3,1.15,0.573
1080,person,574,601,28,38.0,1.407
1081,person,574,593,20,42.25,2.224
1082,person,575,584,10,3.4,0.377
1083,car,575,577,3,0.46,0.232
1084,truck,575,584,10,5.5,0.611
1085,truck,575,577,3,0.64,0.32
1086,car,576,578,3,0.15,0.077
1087,person,576,602,27,22.14,0.852
1088,person,577,599,23,38.23,1.738
1089,car,577,579,3,2.47,1.236
1090,car,577,611,35,152.03,4.471
1091,person,580,603,24,29.96,1.303
1092,bus,580,582,3,0.79,0.393
1093,car,581,711,131,346.34,2.664
1094,person,581,583,3,0.38,0.192
1095,person,581,602,22,23.01,1.096
1096,car,581,583,3,1.37,0.686
1097,person,581,610,30,72.52,2.501
1099,car,587,603,17,3.54,0.221
1100,car,583,585,3,0.76,0.382
1101,car,583,585,3,1.05,0.525
1102,bus,586,588,3,1.67,0.837
1104,person,587,608,22,36.37,1.732
1105,truck,588,590,3,0.28,0.139
1110,truck,592,628,37,20.26,0.563
1111,person,594,611,18,35.92,2.113
1112,person,592,594,3,0.48,0.238
1113,bus,592,594,3,0.42,0.212
1115,person,593,606,14,4.97,0.382
1116,car,596,715,120,266.07,2.236
1117,car,593,595,3,1.64,0.822
1118,truck,594,596,3,2.96,1.479
1119,car,594,596,3,1.99,0.996
1120,car,595,598,4,3.97,1.322
1122,person,597,607,11,4.61,0.461
1123,bus,598,625,28,23.07,0.854
1125,truck,599,601,3,2.0,1.001
1126,truck,600,602,3,1.59,0.795
1127,person,601,607,7,0.53,0.088
1129,car,601,603,3,0.61,0.305
1130,person,601,624,24,51.29,2.23
1131,car,601,603,3,1.32,0.658
1133,car,602,634,33,205.93,6.435
1134,car,602,604,3,3.08,1.54
1135,car,602,623,22,26.08,1.242
1136,person,603,605,3,0.81,0.407
1137,car,604,606,3,0.36,0.178
1138,person,604,606,3,0.33,0.166
1139,car,604,606,3,1.88,0.94
1140,car,604,655,52,179.38,3.517
1141,truck,604,618,15,12.71,0.908
1142,person,609,622,14,6.83,0.525
1143,truck,605,621,17,33.95,2.122
1144,truck,606,608,3,1.07,0.535
1145,car,606,623,18,3.95,0.232
1146,car,607,609,3,0.61,0.307
1147,car,609,632,24,93.48,4.065
1148,car,608,666,59,142.31,2.454
1149,person,609,611,3,0.88,0.441
1150,car,610,612,3,0.68,0.342
1152,person,611,613,3,0.12,0.061
1153,truck,612,614,3,1.52,0.762
1154,car,614,695,82,272.86,3.369
1155,person,612,630,19,12.06,0.67
1156,car,615,617,3,1.66,0.831
1157,person,615,618,4,0.87,0.29
1158,person,614,688,75,233.79,3.159
1160,person,616,637,22,84.93,4.044
1161,car,615,662,48,88.8,1.889
1162,person,616,618,3,1.16,0.58
1163,person,616,618,3,1.31,0.657
1165,person,617,619,3,0.4,0.202
1166,truck,618,620,3,0.8,0.401
1167,car,621,634,14,5.78,0.444
1168,car,621,645,25,43.02,1.793
1169,person,622,642,21,68.22,3.411
1170,person,623,641,19,29.34,1.63
1171,person,623,625,3,0.53,0.266
1173,person,624,626,3,0.31,0.155
1174,truck,624,626,3,1.93,0.965
1175,truck,625,627,3,2.08,1.038
1178,person,629,631,3,0.44,0.222
1179,person,629,666,38,108.25,2.926
1180,car,630,636,7,2.99,0.498
1181,person,630,632,3,0.32,0.162
1182,truck,630,632,3,1.89,0.943
1183,car,630,632,3,1.76,0.88
1185,person,630,640,11,2.87,0.287
1186,truck,631,633,3,0.55,0.275
1188,bus,633,635,3,1.99,0.993
1190,person,634,640,7,8.98,1.496
1191,person,635,637,3,0.09,0.046
1192,person,636,638,3,0.29,0.143
1193,truck,636,638,3,1.32,0.661
1195,car,636,645,10,2.38,0.264
1196,car,638,640,3,1.48,0.738
1197,bus,639,641,3,2.32,1.161
1198,car,639,641,3,2.0,0.998
1200,person,641,643,3,0.15,0.077
1203,person,642,657,16,13.06,0.871
1204,truck,642,682,41,43.05,1.076
1205,person,642,644,3,1.09,0.544
1207,person,644,672,29,61.97,2.213
1208,person,644,673,30,48.17,1.661
1209,person,644,651,8,8.89,1.27
1211,car,644,646,3,1.22,0.61
1213,car,645,679,35,208.62,6.136
1214,car,645,664,20,11.24,0.592
1215,person,645,664,20,25.26,1.329
1216,bus,645,668,24,60.43,2.628
1218,person,645,647,3,0.18,0.091
1219,person,646,652,7,3.8,0.634
1220,person,649,684,36,102.02,2.915
1222,person,647,649,3,0.74,0.369
1224,person,648,678,31,94.02,3.134
1227,person,651,659,9,7.19,0.899
1230,bus,649,651,3,0.54,0.271
1231,person,650,652,3,0.52,0.26
1232,person,650,663,14,3.58,0.276
1234,person,651,655,5,0.85,0.212
1235,person,653,655,3,0.35,0.174
1236,person,655,657,3,1.29,0.644
1238,person,656,672,17,27.91,1.745
1239,person,657,659,3,0.57,0.283
1240,person,656,694,39,111.15,2.925
1241,person,655,657,3,0.44,0.219
